iter	Logloss
0	0.6578125
1	0.6290547689
2	0.6039236959
3	0.582574056
4	0.5605679321
5	0.5382909139
6	0.5210389709
7	0.5040912882
8	0.4838337708
9	0.4652255249
10	0.4472490438
11	0.4314531962
12	0.4203397369
13	0.4051080577
14	0.394438858
15	0.3834204102
16	0.3735623678
17	0.3620792898
18	0.350581309
19	0.3404674276
20	0.3306369527
21	0.3225524394
22	0.3117481995
23	0.3045261892
24	0.2960590108
25	0.2888059235
26	0.2807325236
27	0.2708200836
28	0.2644655355
29	0.2596461995
30	0.2536028544
31	0.2459590658
32	0.2392817688
33	0.2336734009
34	0.230388031
35	0.2245949809
36	0.2200153605
37	0.2146982574
38	0.2114176941
39	0.2090333049
40	0.2042616781
41	0.2010771306
42	0.1973760859
43	0.1936823018
44	0.1888541158
45	0.1842317454
46	0.1801042811
47	0.1751658122
48	0.1710103099
49	0.1669952393
50	0.1624648539
51	0.1607285055
52	0.1580170949
53	0.1544014104
54	0.1529022725
55	0.1518421427
56	0.1479701869
57	0.1447132492
58	0.1423641459
59	0.1406343333
60	0.1383442179
61	0.1351337941
62	0.1325322469
63	0.1304512278
64	0.1283383433
65	0.1256016795
66	0.1232059479
67	0.1215337626
68	0.1206632487
69	0.1187702433
70	0.1176088079
71	0.1156985982
72	0.1134082667
73	0.1115183258
74	0.1102089183
75	0.1082360077
76	0.1068400065
77	0.1056007131
78	0.1047307269
79	0.1035541534
80	0.1026095136
81	0.1016116714
82	0.09974778493
83	0.09821842194
84	0.09615048726
85	0.09459032694
86	0.09395195643
87	0.09225250244
88	0.09154811223
89	0.09013523738
90	0.0890985616
91	0.08780670166
92	0.08673596064
93	0.085976518
94	0.08505134583
95	0.08451569875
96	0.08398138682
97	0.08366953532
98	0.0828670756
99	0.08243112564
100	0.08136915843
101	0.08057334264
102	0.07909756343
103	0.0787519455
104	0.07801193237
105	0.07710109711
106	0.07673538208
107	0.07588435491
108	0.07528928121
109	0.07475954056
110	0.07371283849
111	0.07333136241
112	0.07309341431
113	0.07189002991
114	0.07080453237
115	0.07035640081
116	0.06977237701
117	0.06947710673
118	0.06894913356
119	0.06803781509
120	0.06750562032
121	0.06663107554
122	0.06588247935
123	0.06559408188
124	0.06532899221
125	0.0651010259
126	0.06433745066
127	0.06406520844
128	0.06375582377
129	0.06301574071
130	0.06277439117
131	0.06184165955
132	0.06111662547
133	0.06041700999
134	0.05983276367
135	0.05944143931
136	0.05870554606
137	0.05793567657
138	0.05717417399
139	0.0569520696
140	0.05612616221
141	0.05573327382
142	0.0554126358
143	0.05508705139
144	0.05482601166
145	0.05453938802
146	0.05437014262
147	0.05400092443
148	0.05339927673
149	0.05275201162
